timestamp,model,dataset,nrows,inference_time,co2eq_kg,cpu_power_inference_w
2026-05-09 16:01:14, LogisticRegression, wine   , all  ,0.0006890499994369748,1.3724438506491476e-05,57.0675
2026-05-09 16:01:28, RandomForest      , wine   , all  ,0.04058870000017123,2.8836239497386603e-05,63.9294
2026-05-09 16:01:40, XGBoost           , wine   , all  ,0.001449849999971775,2.0467568358959823e-05,64.9211
2026-05-09 16:01:54, XGBoost_GPU       , wine   , all  ,0.0023278499998014013,5.122640550254018e-05,104.9629
2026-05-09 16:02:12, MLP_PyTorch       , wine   , all  ,0.0006250999999792839,5.874161089258288e-05,68.0025
2026-05-09 16:02:33, LogisticRegression, credit , all  ,0.0006494500003100256,6.052773569368319e-05,55.672
2026-05-09 16:03:26, RandomForest      , credit , all  ,0.06271299999980329,0.0008315679631272,68.757
2026-05-09 16:03:40, XGBoost           , credit , all  ,0.0027430500003902125,4.3346450892063095e-05,113.4087
2026-05-09 16:03:54, XGBoost_GPU       , credit , all  ,0.0034573999996609928,5.171694409484999e-05,96.5861
2026-05-09 16:04:55, MLP_PyTorch       , credit , all  ,0.0010882999999921594,0.0006329919565136,64.8633
2026-05-09 16:12:29, LogisticRegression, higgs  , all  ,0.001194999999825086,0.0051482140686035,69.9915
2026-05-09 16:26:32, XGBoost           , higgs  , all  ,0.002012149999700341,0.014650080633925,110.1276
2026-05-09 16:28:14, XGBoost_GPU       , higgs  , all  ,0.0029732500001955486,0.0021041093310555,96.2571
2026-05-09 19:34:44, MLP_PyTorch       , higgs  , all  ,0.0009293499992963916,0.1458914678446742,63.614
2026-05-10 23:54:29,LogisticRegression,higgs,1000,0.0005784499808214,1.318140404623946e-05,
2026-05-10 23:54:56,RandomForest,higgs,1000,0.0528571500035468,4.867690274472643e-05,
2026-05-10 23:55:15,XGBoost,higgs,1000,0.0015990500105544,2.776108922464352e-05,
2026-05-10 23:55:36,XGBoost_GPU,higgs,1000,0.0022405500058084,5.2865200226387285e-05,
2026-05-10 23:56:00,MLP_PyTorch,higgs,1000,0.0005040999967604,4.4950454191423e-05,
2026-05-10 23:56:23,LogisticRegression,higgs,10000,0.0005831500166095,1.2974145842890709e-05,
2026-05-10 23:56:52,RandomForest,higgs,10000,0.0543316999683156,0.0001153272189161,
2026-05-10 23:57:13,XGBoost,higgs,10000,0.0016377499850932,6.288960341867396e-05,
2026-05-10 23:57:36,XGBoost_GPU,higgs,10000,0.0025278500397689,9.3139779648517e-05,
2026-05-10 23:58:11,MLP_PyTorch,higgs,10000,0.000506199983647,0.0002967297620823,
2026-05-10 23:58:35,LogisticRegression,higgs,100000,0.0005977999826427,3.160141634332216e-05,
2026-05-10 23:59:55,RandomForest,higgs,100000,0.0590428500145208,0.0010935716776238,
2026-05-11 00:00:21,XGBoost,higgs,100000,0.0016594499757047,0.0001634697915302,
2026-05-11 00:00:47,XGBoost_GPU,higgs,100000,0.0026149000041186,0.000147127974659,
2026-05-11 00:04:10,MLP_PyTorch,higgs,100000,0.0004993000184185,0.003023283316426,
2026-05-11 00:04:45,LogisticRegression,higgs,500000,0.0005919999675825,0.0001473250031478,
2026-05-11 00:13:10,RandomForest,higgs,500000,0.0590739000181201,0.0091195042163678,
2026-05-11 00:13:55,XGBoost,higgs,500000,0.001690699980827,0.0005195927264092,
2026-05-11 00:14:27,XGBoost_GPU,higgs,500000,0.0026178999978583,0.0002505400211961,
2026-05-11 00:35:52,MLP_PyTorch,higgs,500000,0.000504900002852,0.0196316076091411,
2026-05-11 00:39:42,LogisticRegression,higgs,1000000,0.0005881999968551,0.000360980591822,
2026-05-11 00:44:40,LogisticRegression,higgs,1000000,0.0005775499739684,0.0004079257109573,
2026-05-11 00:45:53,XGBoost,higgs,1000000,0.0016852999688126,0.0010479201167567,
2026-05-11 00:46:27,XGBoost_GPU,higgs,1000000,0.0026866000262089,0.000347608255639,
2026-05-11 01:18:28,MLP_PyTorch,higgs,1000000,0.0005139500717632,0.0305860507878177,
2026-05-11 01:21:54,LogisticRegression,higgs,5000000,0.0005871999892406,0.0020450954337426,
2026-05-11 01:27:46,XGBoost,higgs,5000000,0.0017013500328175,0.0059568325021972,
2026-05-11 01:28:49,XGBoost_GPU,higgs,5000000,0.0026187999756075,0.0009889778759825,
2026-05-11 05:00:35,MLP_PyTorch,higgs,5000000,0.0005053000058978,0.2040980296648789,
2026-05-14 21:42:54,MLP_1x128,higgs,11000000,0.0005989500205032,0.128512818479303,
2026-05-14 23:59:34,MLP_2x128,higgs,11000000,0.0007540000078734,0.0970865579352789,
2026-05-15 01:38:46,MLP_3x128,higgs,11000000,0.0008817999623715,0.071426616689016,
2026-05-15 03:21:51,MLP_4x128,higgs,11000000,0.0010156499920412,0.0741863130580469,
2026-05-15 06:01:09,MLP_1x256,higgs,11000000,0.0005994999664835,0.1129797434614812,
