timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue,cloud_provider,cloud_region
2026-03-19T16:29:57,test_run,30821799-0512-4028-bfaa-a765cdad739a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,32.335269458002585,1.7157523657877113e-05,5.30613288383494e-07,2.9763500000000005,0.0014,3.0,2.355140310662763e-05,1.0829376018608552e-08,2.147654861166302e-05,4.503878109430926e-05,0.0,Germany,DEU,baden-wurttemberg,macOS-26.3.1-arm64-arm-64bit,3.12.0,3.2.3,8,Apple M1,1,Apple M1,8.417,49.0067,8.0,machine,29.62857142857143,0,80.52499999999999,3.020665849958147,N,1.0,0.0,,
2026-03-19T16:38:13,test_run,5d5d45d0-519c-4a59-83b1-edcdb046cf60,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,32.1794257090005,1.6922029572869823e-05,5.258648717319022e-07,2.882000000000001,0.01265,3.0,2.301368255461196e-05,1.0463579295310229e-07,2.130228691000108e-05,4.4420605257566144e-05,0.0,Germany,DEU,baden-wurttemberg,macOS-26.3.1-arm64-arm-64bit,3.12.0,3.2.3,8,Apple M1,1,Apple M1,8.417,49.0067,8.0,machine,21.98928571428572,0,78.89285714285714,3.148597717285156,N,1.0,0.0,,
2026-03-19T17:07:27,test_run,43f2acf6-ad98-4daf-a8ff-a899324929eb,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.627644541993504,5.416391050923348e-07,1.1704423280077742e-07,0.7803999999999999,0.0475999999999999,3.0,2.854416422500322e-07,3.918892244399791e-08,1.097180972495456e-06,1.421811537189486e-06,0.0,Germany,DEU,baden-wurttemberg,macOS-26.3.1-arm64-arm-64bit,3.12.0,3.2.3,8,Apple M1,1,Apple M1,8.417,49.0067,8.0,machine,0.0,0,82.0,3.015594482421875,N,1.0,0.0,,
2026-03-19T17:08:36,test_run,17b0d72b-bb86-411a-8cc3-6375e21d83aa,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.622417541999312,5.022107491863647e-07,1.0864677295447133e-07,0.5543,0.0426,3.0,2.0017721395349184e-07,3.4840248770856613e-08,1.083293993336459e-06,1.3183114560608076e-06,0.0,Germany,DEU,baden-wurttemberg,macOS-26.3.1-arm64-arm-64bit,3.12.0,3.2.3,8,Apple M1,1,Apple M1,8.417,49.0067,8.0,machine,0.0,0,83.1,2.92779541015625,N,1.0,0.0,,
2026-03-19T17:10:40,test_run,651b493a-af64-42b7-abb2-ab241c609327,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.617762165995373,5.400930176880519e-07,1.1695990357953681e-07,0.7872,0.0504,3.0,2.861369408158741e-07,4.12577240739338e-08,1.0903583674977803e-06,1.4177530323875884e-06,0.0,Germany,DEU,baden-wurttemberg,macOS-26.3.1-arm64-arm-64bit,3.12.0,3.2.3,8,Apple M1,1,Apple M1,8.417,49.0067,8.0,machine,0.0,0,84.0,2.880767822265625,N,1.0,0.0,,
2026-03-19T17:11:24,test_run,ced6ed58-6bf3-4ebb-8615-8f381a3c9e1b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.707127334004326,1.049343145505085e-06,1.8386538166984053e-07,1.1426,0.0045,3.0,7.583933840384085e-07,5.0386163024995775e-09,1.9911109725035203e-06,2.7545429728444284e-06,0.0,Germany,DEU,baden-wurttemberg,macOS-26.3.1-arm64-arm-64bit,3.12.0,3.2.3,8,Apple M1,1,Apple M1,8.417,49.0067,8.0,machine,0.0,0,79.95,2.930625915527344,N,1.0,0.0,,
2026-03-19T17:12:03,test_run,0eed255c-4940-446b-821f-b9f5ac2995c4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.712799666005594,9.0350463556691e-07,1.5815444062274342e-07,0.5899,0.001,3.0,3.895613025622893e-07,1.11957818277814e-09,1.981033610833644e-06,2.371714491578712e-06,0.0,Germany,DEU,baden-wurttemberg,macOS-26.3.1-arm64-arm-64bit,3.12.0,3.2.3,8,Apple M1,1,Apple M1,8.417,49.0067,8.0,machine,0.0,0,80.65,2.8762130737304688,N,1.0,0.0,,
2026-03-19T19:59:51,test_run,e4e562cf-69d4-4738-ad69-a32c99982700,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.697176749999926,1.0132335666292835e-06,1.778483643901862e-07,1.0043,0.0018,3.0,6.666031371593413e-07,2.0062862084996594e-09,1.9911453125011275e-06,2.6597547358689683e-06,0.0,Germany,DEU,baden-wurttemberg,macOS-26.3.1-arm64-arm-64bit,3.12.0,3.2.3,8,Apple M1,1,Apple M1,8.3592,49.0099,8.0,machine,0.0,0,79.8,2.93060302734375,N,1.0,0.0,,
2026-03-19T20:02:45,test_run,c264ab8e-9bda-4a2d-9e0b-dfcfb5730271,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.490760374996171,4.223778724036049e-07,9.405486757996184e-08,0.4154000000000001,0.0026999999999999,3.0,1.3460869686065744e-07,2.106051218244829e-09,9.720340966608396e-07,1.1087488447397418e-06,0.0,Germany,DEU,baden-wurttemberg,macOS-26.3.1-arm64-arm-64bit,3.12.0,3.2.3,8,Apple M1,1,Apple M1,8.3592,49.0099,8.0,machine,0.0,0,79.6,2.91265869140625,N,1.0,0.0,,
2026-03-19T20:07:43,test_run,1c0ba234-566d-45b1-b5d4-6cfb7bcf2b91,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,53.41217000000324,3.149531612172071e-05,5.896655410502662e-07,3.5731749999999995,0.0051,3.0,4.882315453186993e-05,3.4193017580037934e-08,3.3818373993326536e-05,8.26757215427765e-05,0.0,Germany,DEU,baden-wurttemberg,macOS-26.3.1-arm64-arm-64bit,3.12.0,3.2.3,8,Apple M1,1,Apple M1,8.3592,49.0099,8.0,machine,19.8061224489796,0,79.6469387755102,2.897224270567602,N,1.0,0.0,,
