timestamp,model,dataset,nrows,accuracy,f1,co2eq_kg,co2eq_codecarbon_kg,cpu_power_hw_w,cpu_energy_hw_wh,gpu_energy_wh,ram_energy_wh,training_time_s,total_kwh,co2_static_codecarbon_kg,co2_year_mean_kg,co2_year_best_hour_kg,co2_year_worst_hour_kg,co2_winter_mean_kg,co2_summer_mean_kg,co2_summer_midday_mean_kg,co2_winter_evening_mean_kg
2026-05-19 20:33:43,tune_RFC,wine,all,,0.9793,0.000882533078788,0.0004903741798507,58.5698,1.153824,0.783572,0.378963,77.65,0.002316359786845144,0.0008825330787879999,0.0007897768838304117,0.0002663813754871916,0.001524164739744105,0.0008549308637168854,0.0007033393597885407,0.0004480960240916277,0.000900079504173352
2026-05-19 20:39:13,tune_RFC,credit,all,,0.8003,0.0060874962798091,0.0035345156172721,121.1803,10.746646,3.521569,1.709466,325.82,0.01597768052443333,0.006087496279809099,0.00544768684342059,0.001837433260309833,0.010513313785077132,0.005897102983967252,0.004851462046086735,0.0030908562468855557,0.006208527209781681
2026-05-19 20:40:35,tune_XGB,wine,all,,0.9793,0.0011229610362517,0.0005993964573692,85.6131,1.700283,0.864948,0.382173,78.04,0.0029474042946238846,0.0011229610362517,0.0010049353267209194,0.00033895149388174674,0.0019393920258625162,0.0010878391662797907,0.0008949496798345804,0.0005701705552445101,0.0011452876237834759
2026-05-19 20:42:42,tune_XGB,credit,all,,0.8024,0.0019214627002946,0.0010958524758226,77.9819,2.511182,1.910744,0.621283,122.42,0.005043209187124934,0.0019214627002946002,0.0017195126849172463,0.0005799690565193675,0.0033184316451282067,0.0018613667923004292,0.0015313197634911594,0.0009756005946256439,0.0019596650098870714
2026-05-19 21:23:01,tune_XGB,higgs,all,,0.7591,0.0542554470689059,0.0404693119681269,70.3601,46.929131,82.589363,12.884254,2407.81,0.14240274821235144,0.05425544706890589,0.04855307857213995,0.016376316044420417,0.09370100832372726,0.05255854691324029,0.0432391627279186,0.027547579463285562,0.05533414788661446
2026-05-19 21:23:55,tune_MLP,wine,all,,0.9932,0.0006685756174027,0.0003241296515813,90.7501,1.069791,0.458307,0.226693,48.74,0.0017547916467262467,0.0006685756174027,0.0005983068288414139,0.00020180103937351838,0.0011546529035458704,0.0006476651626827523,0.0005328248402428463,0.0003394615829858554,0.0006818681641266513
2026-05-19 21:35:32,tune_MLP,credit,all,,0.8026,0.0086416643458056,0.0049100451585819,58.5517,11.028176,8.01709,3.636268,684.04,0.022681533716025194,0.0086416643458056,0.0077334061489362045,0.0026083763773428973,0.014924449185144578,0.00837138656973302,0.006887019664841841,0.004387705716603581,0.00881347696370449
2026-05-23 10:36:47,tune_MLP,higgs,all,,0.7823,3.182510556928617,1.8538496417139383,54.638,3952.088748,3003.29605,1397.661283,260402.08,8.353046081177473,3.182510556928617,2.8480215992133386,0.9606002993354094,5.496304321414778,3.082973958278882,2.5363184581188323,1.615883145306911,3.2457848809935363
2026-05-23 10:37:14,LogisticRegression,wine,all,0.9722,0.972,1.2597186951466887e-05,4.85471892684815e-06,50.0119,0.022143,0.005313,0.005608,0.01,3.306348281224905e-05,1.2597186951466887e-05,1.1273194506456069e-05,3.8023005234086403e-06,2.1755771690459873e-05,1.220319575512222e-05,1.0039394124182888e-05,6.396076842177168e-06,1.2847642833769674e-05
2026-05-23 10:37:29,RandomForest,wine,all,0.9722,0.9723,1.5635876332269217e-05,7.581602319475676e-06,43.5832,0.023678,0.009546,0.007815,0.4,4.103904549152026e-05,1.5635876332269217e-05,1.39925108559287e-05,4.719490231524829e-06,2.700369193342033e-05,1.5146846706386697e-05,1.2461093542662306e-05,7.93893643884738e-06,1.5946747101867485e-05
2026-05-23 10:37:41,XGBoost,wine,all,0.9722,0.9723,1.2961989684429622e-05,5.60982056619053e-06,45.9373,0.021424,0.006431,0.006167,0.11,3.4020970300340214e-05,1.296198968442962e-05,1.1599655658538659e-05,3.912411584539125e-06,2.238579845762386e-05,1.2556588872133113e-05,1.0330125573029525e-05,6.5813012356274984e-06,1.3219698534454697e-05
2026-05-23 10:37:53,XGBoost_GPU,wine,all,0.9722,0.9723,1.7034641302686333e-05,7.141201134678342e-06,51.7826,0.028562,0.008858,0.00729,0.31,4.471034462647331e-05,1.703464130268633e-05,1.5244262508188908e-05,5.141689632044431e-06,2.941940676421944e-05,1.6501863728454478e-05,1.3575846612472323e-05,8.649143270690242e-06,1.7373322163231867e-05
2026-05-23 10:38:10,MLP_PyTorch,wine,all,0.9722,0.972,3.873591072054016e-05,2.0938766574613745e-05,47.4809,0.052709,0.030597,0.018363,2.3,0.00010166905700929176,3.873591072054016e-05,3.4664680108325044e-05,1.169194155606855e-05,6.689823951211397e-05,3.752440152685397e-05,3.087078694480912e-05,1.966771331368063e-05,3.950605382738554e-05
2026-05-23 10:38:28,LogisticRegression,credit,all,0.8078,0.7695,2.0684065614203243e-05,1.0422195263333868e-05,43.6011,0.030182,0.014117,0.00999,0.8,5.4288886126517696e-05,2.0684065614203243e-05,1.8510124184991996e-05,6.243221904549535e-06,3.572208707124864e-05,2.0037148188272483e-05,1.6484274432972895e-05,1.05020965066866e-05,2.1095303926611614e-05
2026-05-23 10:38:46,RandomForest,credit,all,0.8197,0.7971,4.464335699947184e-05,2.495480564646623e-05,82.0783,0.078372,0.023864,0.014938,1.69,0.00011717416535294446,4.464335699947184e-05,3.9951240607538895e-05,1.3475029015588613e-05,7.710060080223745e-05,4.324708577631469e-05,3.557875719960689e-05,2.2667151242692295e-05,4.5530951302020386e-05
2026-05-23 10:38:58,XGBoost,credit,all,0.8192,0.7979,2.0589800108560785e-05,7.832300772889747e-06,59.7022,0.036285,0.009878,0.007879,0.41,5.404147010120941e-05,2.0589800108560788e-05,1.8425766194239697e-05,6.214769061639082e-06,3.5559287326595794e-05,1.994583094238716e-05,1.640914904449481e-05,1.0454234279986406e-05,2.0999164244577445e-05
2026-05-23 10:39:11,XGBoost_GPU,credit,all,0.8192,0.7977,2.229280959513505e-05,1.0658248400593504e-05,54.2645,0.033816,0.015478,0.009217,0.66,5.851131127332034e-05,2.2292809595135048e-05,1.994978558543052e-05,6.728800796431839e-06,3.850044281784478e-05,2.1595576891031347e-05,1.776637137506842e-05,1.1318917766946745e-05,2.2736032778030453e-05
2026-05-23 10:39:29,MLP_PyTorch,credit,all,0.8175,0.8024,7.217279470140998e-05,4.070277717988272e-05,50.0979,0.093486,0.062505,0.033439,5.02,0.00018942990735278212,7.217279470140998e-05,6.458727300611939e-05,2.1784439345569945e-05,0.00012464487903813065,6.99155093378205e-05,5.751848677349511e-05,3.664490672428589e-05,7.36077262496073e-05
2026-05-23 10:41:18,LogisticRegression,higgs,all,0.6414,0.6368,0.000960948638825,0.0005896936235789,46.8768,1.125404,0.934792,0.461979,84.67,0.0025221749050524937,0.0009609486388250002,0.0008599507936116623,0.00029005011408103675,0.001659591087524541,0.000930893888880025,0.0007658330510954161,0.0004879106231407119,0.0009800541137307728
2026-05-23 10:44:16,XGBoost,higgs,all,0.7598,0.7596,0.0027629575869234,0.0019863174969427,108.6004,4.732522,1.679658,0.839677,155.22,0.007251857183525984,0.0027629575869233996,0.0024725645821148195,0.0008339635761054881,0.0047717220267600976,0.0026765429794943373,0.002201953521083157,0.0014028599484729111,0.002817890405088609
2026-05-23 10:44:52,XGBoost_GPU,higgs,all,0.7601,0.7599,0.0003925532394881,0.0003022996210207,60.1985,0.303776,0.632591,0.093957,16.41,0.0010303234632233595,0.00039255323948809995,0.0003512950184781906,0.00011848719827068633,0.0006779528388009705,0.0003802756952196249,0.0003128473603773005,0.00019931439408534711,0.0004003579397220169
