timestamp,model,dataset,nrows,inference_time,co2eq_kg,cpu_power_inference_w,energy_per_inference_wh,n_inference_reps
2026-05-23 10:37:14,LogisticRegression,wine,all,0.000589100003708154,1.2597186951466887e-05,56.6356,9.585541e-06,49650
2026-05-23 10:37:29,RandomForest,wine,all,0.03973650000989437,1.5635876332269217e-05,56.965,6.192761e-04,768
2026-05-23 10:37:41,XGBoost,wine,all,0.001464199973270297,1.2961989684429622e-05,107.9943,4.490382e-05,20113
2026-05-23 10:37:53,XGBoost_GPU,wine,all,0.0024682999937795103,1.7034641302686333e-05,107.1613,7.944152e-05,11333
2026-05-23 10:38:10,MLP_PyTorch,wine,all,0.0007502000080421567,3.873591072054016e-05,58.6672,1.482275e-05,33125
2026-05-23 10:38:28,LogisticRegression,credit,all,0.0006314999773167074,2.0684065614203243e-05,54.6219,9.776975e-06,46870
2026-05-23 10:38:46,RandomForest,credit,all,0.04017530003329739,4.464335699947184e-05,58.2705,6.593487e-04,742
2026-05-23 10:38:58,XGBoost,credit,all,0.0027854499930981547,2.0589800108560785e-05,108.301,8.712560e-05,10408
2026-05-23 10:39:11,XGBoost_GPU,credit,all,0.004687700013164431,2.229280959513505e-05,106.5407,1.456287e-04,6123
2026-05-23 10:39:29,MLP_PyTorch,credit,all,0.0010293999803252518,7.217279470140998e-05,62.1859,2.140570e-05,24327
2026-05-23 10:41:18,LogisticRegression,higgs,all,0.0006067000213079154,0.000960948638825,54.1786,9.321857e-06,48669
2026-05-23 10:44:16,XGBoost,higgs,all,0.0020211499941069633,0.0027629575869234,105.9267,6.160137e-05,14442
2026-05-23 10:44:52,XGBoost_GPU,higgs,all,0.0034914499847218394,0.0003925532394881,106.5528,1.068648e-04,8380
2026-05-23 12:04:42,MLP_PyTorch,higgs,all,0.0008962999563664198,0.0584613638687598,64.4966,1.857615e-05,29011
2026-05-23 16:33:20,MLP_1x128,higgs,11000000,0.001063500007148832,0.025613874879608187,,,
2026-05-23 16:57:10,MLP_2x128,higgs,11000000,0.001186200010124594,0.013521649456995976,,,
2026-05-23 17:29:37,MLP_3x128,higgs,11000000,0.0013091499859001487,0.01808756681445652,,,
2026-05-23 17:58:58,MLP_4x128,higgs,11000000,0.0014224000042304397,0.016074686863561796,,,
2026-05-23 18:56:02,MLP_1x256,higgs,11000000,0.0010628000018186867,0.03034534055056544,,,
2026-05-23 19:51:58,MLP_2x256,higgs,11000000,0.0011788999836426228,0.03051456516084821,,,
2026-05-23 21:08:11,MLP_3x256,higgs,11000000,0.0012919000000692904,0.04264946687835655,,,
2026-05-23 22:25:29,MLP_4x256,higgs,11000000,0.0014267000369727612,0.04351292468595174,,,
2026-05-23 23:45:41,MLP_1x512,higgs,11000000,0.0008798000053502619,0.04812278825455654,,,
2026-05-24 01:09:24,MLP_2x512,higgs,11000000,0.0011945499863941222,0.054598628218984174,,,
2026-05-24 03:19:39,MLP_3x512,higgs,11000000,0.00132610002765432,0.08054452002191913,,,
2026-05-24 05:30:02,MLP_4x512,higgs,11000000,0.001499550009611994,0.09272644606623208,,,
2026-05-24 05:31:03,LogisticRegression,higgs,1000,0.0006033999961800873,1.1174744882795322e-05,46.8388,7.944328e-06,49248
2026-05-24 05:31:53,RandomForest,higgs,1000,0.051543550012866035,1.5157180174186484e-05,55.7102,8.302532e-04,560
2026-05-24 05:32:42,XGBoost,higgs,1000,0.0018767999717965722,1.6819665653387323e-05,105.7901,5.676178e-05,15643
2026-05-24 05:33:31,XGBoost_GPU,higgs,1000,0.003435199992964044,2.0350351894081592e-05,105.7101,9.848737e-05,9010
2026-05-24 05:34:24,MLP_PyTorch,higgs,1000,0.0008712999988347292,3.5456259342517826e-05,54.1219,1.328792e-05,34076
2026-05-24 05:35:17,LogisticRegression,higgs,5000,0.0006092999828979373,9.33915172734419e-06,46.7973,8.010925e-06,48806
2026-05-24 05:36:07,RandomForest,higgs,5000,0.05216330001712777,1.936508268891439e-05,55.708,8.453524e-04,554
2026-05-24 05:36:56,XGBoost,higgs,5000,0.0019209000165574253,1.9809504444058047e-05,105.7116,5.807145e-05,15278
2026-05-24 05:37:45,XGBoost_GPU,higgs,5000,0.0034738999675028026,2.5851215796540492e-05,105.6271,1.019576e-04,8697
2026-05-24 05:38:37,MLP_PyTorch,higgs,5000,0.000859999970998615,3.152757975789974e-05,54.0538,1.311038e-05,34528
2026-05-24 05:39:30,LogisticRegression,higgs,10000,0.0006074000266380608,9.659603380261054e-06,46.7017,7.972449e-06,48945
2026-05-24 05:40:20,RandomForest,higgs,10000,0.051760700007434934,2.648975592528617e-05,57.0452,8.644132e-04,552
2026-05-24 05:41:09,XGBoost,higgs,10000,0.0019438999588601291,2.9426878077068012e-05,105.9165,5.890805e-05,15099
2026-05-24 05:41:59,XGBoost_GPU,higgs,10000,0.003485900000669062,2.8037837664607786e-05,105.6272,1.051650e-04,8372
2026-05-24 05:42:51,MLP_PyTorch,higgs,10000,0.0008582000155001879,3.675909864142278e-05,53.7202,1.296245e-05,34590
2026-05-24 05:43:44,LogisticRegression,higgs,50000,0.0005990000208839774,1.0529020748532035e-05,46.6501,7.872162e-06,49573
2026-05-24 05:44:38,RandomForest,higgs,50000,0.05502410000190139,9.193532467773269e-05,56.3477,8.693639e-04,545
